,checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit,dummy,checking_account_status_cat,credit_history_cat,purpose_cat,savings_account_balance_cat,time_employed_yrs_cat,gender_status_cat,other_signators_cat,property_cat,other_credit_outstanding_cat,home_ownership_cat,job_category_cat,telephone_cat,foreign_worker_cat
16,none,24,critical account - other non-bank loans,radio/television,2424,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,53,none,own,2,skilled,1,none,yes,0,1.0,3,1,7,4,3,3,2,0,1,1,1,0,1
17,< 0 DM,30,no credit - paid,business,8072,unknown/none,< 1 year,2,male-single,none,3,car or other,25,bank,own,3,skilled,1,none,yes,0,1.0,1,3,0,4,2,3,2,1,0,1,1,0,1
18,0 - 200 DM,24,current loans paid,car (used),12579,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,2,unknown-none,44,none,for free,1,highly skilled,1,yes,yes,1,1.0,0,2,2,2,3,0,2,3,1,0,0,1,1
19,none,24,current loans paid,radio/television,3430,500 - 1000 DM,>= 7 years,3,male-single,none,2,car or other,31,none,own,1,skilled,2,yes,yes,0,1.0,3,2,7,1,3,3,2,1,1,1,1,1,1
20,none,9,critical account - other non-bank loans,car (new),2134,< 100 DM,1 - 4 years,4,male-single,none,4,car or other,48,none,own,3,skilled,1,yes,yes,0,1.0,3,1,1,2,0,3,2,1,1,1,1,1,1
21,< 0 DM,6,current loans paid,radio/television,2647,500 - 1000 DM,1 - 4 years,2,male-single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,0,1.0,1,2,7,1,0,3,2,2,1,2,1,0,1
22,< 0 DM,10,critical account - other non-bank loans,car (new),2241,< 100 DM,< 1 year,1,male-single,none,3,real estate,48,none,rent,2,unskilled-resident,2,none,no,0,1.0,1,1,1,2,2,3,2,2,1,2,3,0,0
23,0 - 200 DM,12,critical account - other non-bank loans,car (used),1804,100 - 500 DM,< 1 year,3,male-single,none,4,building society savings/life insurance,44,none,own,1,skilled,1,none,yes,0,1.0,0,1,2,0,2,3,2,0,1,1,1,0,1
24,none,10,critical account - other non-bank loans,furniture/equipment,2069,unknown/none,1 - 4 years,2,male-married/widowed,none,1,car or other,26,none,own,2,skilled,1,none,no,0,1.0,3,1,5,4,0,2,2,1,1,1,1,0,0
25,< 0 DM,6,current loans paid,furniture/equipment,1374,< 100 DM,1 - 4 years,1,male-single,none,2,real estate,36,bank,own,1,unskilled-resident,1,yes,yes,0,1.0,1,2,5,2,0,3,2,2,0,1,3,1,1
26,none,6,no credit - paid,radio/television,426,< 100 DM,>= 7 years,4,male-married/widowed,none,4,car or other,39,none,own,1,unskilled-resident,1,none,yes,0,1.0,3,3,7,2,3,2,2,1,1,1,3,0,1
27,> 200 DM or salary assignment,12,all loans at bank paid,radio/television,409,>= 1000 DM,1 - 4 years,3,female-divorced/separated/married,none,3,real estate,42,none,rent,2,skilled,1,none,yes,0,1.0,2,0,7,3,0,0,2,2,1,2,1,0,1
28,0 - 200 DM,7,current loans paid,radio/television,2415,< 100 DM,1 - 4 years,3,male-single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,0,1.0,0,2,7,2,0,3,1,2,1,1,1,0,1
29,< 0 DM,60,past payment delays,business,6836,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,63,none,own,2,skilled,1,yes,yes,1,1.0,1,4,0,2,3,3,2,3,1,1,1,1,1
30,0 - 200 DM,18,current loans paid,business,1913,>= 1000 DM,< 1 year,3,male-married/widowed,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,0,1.0,0,2,0,3,2,2,2,2,0,1,1,1,1
31,< 0 DM,24,current loans paid,furniture/equipment,4020,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,27,stores,own,1,skilled,1,none,yes,0,1.0,1,2,5,2,0,3,2,1,2,1,1,0,1
32,0 - 200 DM,18,current loans paid,car (new),5866,100 - 500 DM,1 - 4 years,2,male-single,none,2,car or other,30,none,own,2,skilled,1,yes,yes,0,1.0,0,2,1,0,0,3,2,1,1,1,1,1,1
33,none,12,critical account - other non-bank loans,business,1264,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,57,none,rent,1,unskilled-resident,1,none,yes,0,1.0,3,1,0,4,3,3,2,3,1,2,3,0,1
34,> 200 DM or salary assignment,12,current loans paid,furniture/equipment,1474,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,building society savings/life insurance,33,bank,own,1,highly skilled,1,yes,yes,0,1.0,2,2,5,2,2,0,2,0,0,1,0,1,1
35,0 - 200 DM,45,critical account - other non-bank loans,radio/television,4746,< 100 DM,< 1 year,4,male-single,none,2,building society savings/life insurance,25,none,own,2,unskilled-resident,1,none,yes,1,1.0,0,1,7,2,2,3,2,0,1,1,3,0,1
36,none,48,critical account - other non-bank loans,education,6110,< 100 DM,1 - 4 years,1,male-single,none,3,unknown-none,31,bank,for free,1,skilled,1,yes,yes,0,1.0,3,1,4,2,0,3,2,3,0,0,1,1,1
37,> 200 DM or salary assignment,18,current loans paid,radio/television,2100,< 100 DM,1 - 4 years,4,male-single,co-applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,1,1.0,2,2,7,2,0,3,0,2,2,1,1,0,1
38,> 200 DM or salary assignment,10,current loans paid,domestic appliances,1225,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,37,none,own,1,skilled,1,yes,yes,0,1.0,2,2,3,2,0,3,2,1,1,1,1,1,1
39,0 - 200 DM,9,current loans paid,radio/television,458,< 100 DM,1 - 4 years,4,male-single,none,3,real estate,24,none,own,1,skilled,1,none,yes,0,1.0,0,2,7,2,0,3,2,2,1,1,1,0,1
40,none,30,current loans paid,radio/television,2333,500 - 1000 DM,>= 7 years,4,male-single,none,2,car or other,30,bank,own,1,highly skilled,1,none,yes,0,1.0,3,2,7,1,3,3,2,1,0,1,0,0,1
41,0 - 200 DM,12,current loans paid,radio/television,1158,500 - 1000 DM,1 - 4 years,3,male-divorced/separated,none,1,car or other,26,none,own,1,skilled,1,yes,yes,0,1.0,0,2,7,1,0,1,2,1,1,1,1,1,1
42,0 - 200 DM,18,past payment delays,repairs,6204,< 100 DM,1 - 4 years,2,male-single,none,4,real estate,44,none,own,1,unskilled-resident,2,yes,yes,0,1.0,0,4,8,2,0,3,2,2,1,1,3,1,1
43,< 0 DM,30,critical account - other non-bank loans,car (used),6187,100 - 500 DM,4 - 7 years,1,male-married/widowed,none,4,car or other,24,none,rent,2,skilled,1,none,yes,0,1.0,1,1,2,0,1,2,2,1,1,2,1,0,1
44,< 0 DM,48,critical account - other non-bank loans,car (used),6143,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,4,unknown-none,58,stores,for free,2,unskilled-resident,1,none,yes,1,1.0,1,1,2,2,3,0,2,3,2,0,3,0,1
45,none,11,critical account - other non-bank loans,car (new),1393,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,car or other,35,none,own,2,highly skilled,1,none,yes,0,1.0,3,1,1,2,2,0,2,1,1,1,0,0,1
46,none,36,current loans paid,radio/television,2299,500 - 1000 DM,>= 7 years,4,male-single,none,4,car or other,39,none,own,1,skilled,1,none,yes,0,1.0,3,2,7,1,3,3,2,1,1,1,1,0,1
47,< 0 DM,6,current loans paid,car (used),1352,500 - 1000 DM,unemployed,1,female-divorced/separated/married,none,2,building society savings/life insurance,23,none,rent,1,unemployed-unskilled-non-resident,1,yes,yes,0,1.0,1,2,2,1,4,0,2,0,1,2,2,1,1
48,none,11,critical account - other non-bank loans,car (new),7228,< 100 DM,1 - 4 years,1,male-single,none,4,building society savings/life insurance,39,none,own,2,unskilled-resident,1,none,yes,0,1.0,3,1,1,2,0,3,2,0,1,1,3,0,1
49,none,12,current loans paid,radio/television,2073,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled,1,none,yes,0,1.0,3,2,7,0,0,0,0,2,1,1,1,0,1
50,0 - 200 DM,24,past payment delays,furniture/equipment,2333,unknown/none,< 1 year,4,male-single,none,2,building society savings/life insurance,29,bank,own,1,unskilled-resident,1,none,yes,0,1.0,0,4,5,4,2,3,2,0,0,1,3,0,1
51,0 - 200 DM,27,past payment delays,car (used),5965,< 100 DM,>= 7 years,1,male-single,none,2,car or other,30,none,own,2,highly skilled,1,yes,yes,0,1.0,0,4,2,2,3,3,2,1,1,1,0,1,1
52,none,12,current loans paid,radio/television,1262,< 100 DM,1 - 4 years,3,male-single,none,2,car or other,25,none,own,1,skilled,1,none,yes,0,1.0,3,2,7,2,0,3,2,1,1,1,1,0,1
53,none,18,current loans paid,car (used),3378,unknown/none,1 - 4 years,2,male-single,none,1,building society savings/life insurance,31,none,own,1,skilled,1,yes,yes,0,1.0,3,2,2,4,0,3,2,0,1,1,1,1,1
54,0 - 200 DM,36,past payment delays,car (new),2225,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,57,bank,for free,2,skilled,1,yes,yes,1,1.0,0,4,1,2,3,3,2,3,0,0,1,1,1
55,none,6,all loans at bank paid,car (new),783,unknown/none,1 - 4 years,1,male-single,guarantor,2,real estate,26,stores,own,1,unskilled-resident,2,none,yes,0,1.0,3,0,1,4,0,3,1,2,2,1,3,0,1
56,0 - 200 DM,12,current loans paid,radio/television,6468,unknown/none,unemployed,2,male-single,none,1,unknown-none,52,none,own,1,highly skilled,1,yes,yes,1,1.0,0,2,7,4,4,3,2,3,1,1,0,1,1
57,none,36,critical account - other non-bank loans,radio/television,9566,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,car or other,31,stores,own,2,skilled,1,none,yes,0,1.0,3,1,7,2,0,0,2,1,2,1,1,0,1
58,> 200 DM or salary assignment,18,current loans paid,car (new),1961,< 100 DM,>= 7 years,3,female-divorced/separated/married,none,2,car or other,23,none,own,1,highly skilled,1,none,yes,0,1.0,2,2,1,2,3,0,2,1,1,1,0,0,1
59,< 0 DM,36,critical account - other non-bank loans,furniture/equipment,6229,< 100 DM,< 1 year,4,female-divorced/separated/married,co-applicant,4,unknown-none,23,none,rent,2,unskilled-resident,1,yes,yes,1,1.0,1,1,5,2,2,0,0,3,1,2,3,1,1
60,0 - 200 DM,9,current loans paid,business,1391,< 100 DM,1 - 4 years,2,male-married/widowed,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,0,1.0,0,2,0,2,0,2,2,2,0,1,1,1,1
61,0 - 200 DM,15,critical account - other non-bank loans,radio/television,1537,unknown/none,>= 7 years,4,male-single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,0,1.0,0,1,7,4,3,3,1,2,1,1,1,1,1
62,0 - 200 DM,36,no credit - paid,business,1953,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,61,none,for free,1,highly skilled,1,yes,yes,1,1.0,0,3,0,2,3,3,2,3,1,0,0,1,1
63,0 - 200 DM,48,no credit - paid,business,14421,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,25,none,own,1,skilled,1,yes,yes,1,1.0,0,3,0,2,0,3,2,1,1,1,1,1,1
64,none,24,current loans paid,radio/television,3181,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,26,none,own,1,skilled,1,yes,yes,0,1.0,3,2,7,2,2,0,2,0,1,1,1,1,1
65,none,27,current loans paid,repairs,5190,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,48,none,own,4,skilled,2,yes,yes,0,1.0,3,2,8,4,3,3,2,0,1,1,1,1,1
66,none,12,current loans paid,radio/television,2171,< 100 DM,< 1 year,2,female-divorced/separated/married,none,2,car or other,29,bank,own,1,skilled,1,none,yes,0,1.0,3,2,7,2,2,0,2,1,0,1,1,0,1
67,0 - 200 DM,12,current loans paid,car (new),1007,>= 1000 DM,1 - 4 years,4,male-married/widowed,none,1,real estate,22,none,own,1,skilled,1,none,yes,0,1.0,0,2,1,3,0,2,2,2,1,1,1,0,1
68,none,36,current loans paid,education,1819,< 100 DM,1 - 4 years,4,male-single,none,4,unknown-none,37,stores,for free,1,skilled,1,yes,yes,1,1.0,3,2,4,2,0,3,2,3,2,0,1,1,1
69,none,36,current loans paid,radio/television,2394,unknown/none,1 - 4 years,4,female-divorced/separated/married,none,4,car or other,25,none,own,1,skilled,1,none,yes,0,1.0,3,2,7,4,0,0,2,1,1,1,1,0,1
70,none,36,current loans paid,car (used),8133,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,2,building society savings/life insurance,30,bank,own,1,skilled,1,none,yes,0,1.0,3,2,2,2,0,0,2,0,0,1,1,0,1
71,none,7,critical account - other non-bank loans,radio/television,730,unknown/none,>= 7 years,4,male-single,none,2,building society savings/life insurance,46,none,rent,2,unskilled-resident,1,yes,yes,0,1.0,3,1,7,4,3,3,2,0,1,2,3,1,1
72,< 0 DM,8,critical account - other non-bank loans,other,1164,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,51,bank,for free,2,highly skilled,2,yes,yes,0,1.0,1,1,6,2,3,3,2,3,0,0,0,1,1
73,0 - 200 DM,42,critical account - other non-bank loans,business,5954,< 100 DM,4 - 7 years,2,female-divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled-resident,1,none,yes,0,1.0,0,1,0,2,1,0,2,2,0,1,3,0,1
74,< 0 DM,36,current loans paid,education,1977,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,40,none,own,1,highly skilled,1,yes,yes,1,1.0,1,2,4,4,3,3,2,3,1,1,0,1,1
75,< 0 DM,12,critical account - other non-bank loans,car (used),1526,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,66,none,for free,2,highly skilled,1,none,yes,0,1.0,1,1,2,2,3,3,2,3,1,0,0,0,1
76,< 0 DM,42,current loans paid,radio/television,3965,< 100 DM,< 1 year,4,male-single,none,3,car or other,34,none,own,1,skilled,1,none,yes,1,1.0,1,2,7,2,2,3,2,1,1,1,1,0,1
77,0 - 200 DM,11,past payment delays,radio/television,4771,< 100 DM,4 - 7 years,2,male-single,none,4,building society savings/life insurance,51,none,own,1,skilled,1,none,yes,0,1.0,0,4,7,2,1,3,2,0,1,1,1,0,1
78,none,54,no credit - paid,car (used),9436,unknown/none,1 - 4 years,2,male-single,none,2,building society savings/life insurance,39,none,own,1,unskilled-resident,2,none,yes,0,1.0,3,3,2,4,0,3,2,0,1,1,3,0,1
79,0 - 200 DM,30,current loans paid,furniture/equipment,3832,< 100 DM,< 1 year,2,male-married/widowed,none,1,building society savings/life insurance,22,none,own,1,skilled,1,none,yes,0,1.0,0,2,5,2,2,2,2,0,1,1,1,0,1
80,none,24,current loans paid,radio/television,5943,unknown/none,< 1 year,1,female-divorced/separated/married,none,1,car or other,44,none,own,2,skilled,1,yes,yes,1,1.0,3,2,7,4,2,0,2,1,1,1,1,1,1
81,none,15,current loans paid,radio/television,1213,500 - 1000 DM,>= 7 years,4,male-single,none,3,building society savings/life insurance,47,stores,own,1,skilled,1,yes,yes,0,1.0,3,2,7,1,3,3,2,0,2,1,1,1,1
82,none,18,current loans paid,business,1568,100 - 500 DM,1 - 4 years,3,female-divorced/separated/married,none,4,building society savings/life insurance,24,none,rent,1,unskilled-resident,1,none,yes,0,1.0,3,2,0,0,0,0,2,0,1,2,3,0,1
83,< 0 DM,24,current loans paid,other,1755,< 100 DM,>= 7 years,4,female-divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled-resident,1,yes,yes,0,1.0,1,2,6,2,3,0,1,2,1,1,3,1,1
84,< 0 DM,10,current loans paid,radio/television,2315,< 100 DM,>= 7 years,3,male-single,none,4,real estate,52,none,own,1,unskilled-resident,1,none,yes,0,1.0,1,2,7,2,3,3,2,2,1,1,3,0,1
85,none,12,critical account - other non-bank loans,business,1412,< 100 DM,1 - 4 years,4,female-divorced/separated/married,guarantor,2,real estate,29,none,own,2,highly skilled,1,yes,yes,0,1.0,3,1,0,2,0,0,1,2,1,1,0,1,1
86,0 - 200 DM,18,critical account - other non-bank loans,furniture/equipment,1295,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,building society savings/life insurance,27,none,own,2,skilled,1,none,yes,0,1.0,0,1,5,2,2,0,2,0,1,1,1,0,1
87,0 - 200 DM,36,current loans paid,education,12612,100 - 500 DM,1 - 4 years,1,male-single,none,4,unknown-none,47,none,for free,1,skilled,2,yes,yes,1,1.0,0,2,4,0,0,3,2,3,1,0,1,1,1
88,< 0 DM,18,current loans paid,car (new),2249,100 - 500 DM,4 - 7 years,4,male-single,none,3,car or other,30,none,own,1,highly skilled,2,yes,yes,0,1.0,1,2,1,0,1,3,2,1,1,1,0,1,1
89,< 0 DM,12,no credit - paid,repairs,1108,< 100 DM,4 - 7 years,4,male-single,none,3,real estate,28,none,own,2,skilled,1,none,yes,1,1.0,1,3,8,2,1,3,2,2,1,1,1,0,1
90,none,12,critical account - other non-bank loans,radio/television,618,< 100 DM,>= 7 years,4,male-single,none,4,real estate,56,none,own,1,skilled,1,none,yes,0,1.0,3,1,7,2,3,3,2,2,1,1,1,0,1
91,< 0 DM,12,critical account - other non-bank loans,car (used),1409,< 100 DM,>= 7 years,4,male-single,none,3,real estate,54,none,own,1,skilled,1,none,yes,0,1.0,1,1,2,2,3,3,2,2,1,1,1,0,1
92,none,12,critical account - other non-bank loans,radio/television,797,unknown/none,>= 7 years,4,female-divorced/separated/married,none,3,building society savings/life insurance,33,bank,own,1,unskilled-resident,2,none,yes,1,1.0,3,1,7,4,3,0,2,0,0,1,3,0,1
93,> 200 DM or salary assignment,24,critical account - other non-bank loans,furniture/equipment,3617,unknown/none,>= 7 years,4,male-single,co-applicant,4,unknown-none,20,none,rent,2,skilled,1,none,yes,0,1.0,2,1,5,4,3,3,0,3,1,2,1,0,1
94,0 - 200 DM,12,current loans paid,car (new),1318,>= 1000 DM,>= 7 years,4,male-single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,0,1.0,0,2,1,3,3,3,2,2,1,1,1,1,1
95,0 - 200 DM,54,no credit - paid,business,15945,< 100 DM,< 1 year,3,male-single,none,4,unknown-none,58,none,rent,1,skilled,1,yes,yes,1,1.0,0,3,0,2,2,3,2,3,1,2,1,1,1
96,none,12,critical account - other non-bank loans,education,2012,unknown/none,4 - 7 years,4,female-divorced/separated/married,none,2,car or other,61,none,own,1,skilled,1,none,yes,0,1.0,3,1,4,4,1,0,2,1,1,1,1,0,1
97,0 - 200 DM,18,current loans paid,business,2622,100 - 500 DM,1 - 4 years,4,male-single,none,4,car or other,34,none,own,1,skilled,1,none,yes,0,1.0,0,2,0,0,0,3,2,1,1,1,1,0,1
98,0 - 200 DM,36,critical account - other non-bank loans,radio/television,2337,< 100 DM,>= 7 years,4,male-single,none,4,real estate,36,none,own,1,skilled,1,none,yes,0,1.0,0,1,7,2,3,3,2,2,1,1,1,0,1
99,0 - 200 DM,20,past payment delays,car (used),7057,unknown/none,4 - 7 years,3,male-single,none,4,building society savings/life insurance,36,bank,rent,2,highly skilled,2,yes,yes,0,1.0,0,4,2,4,1,3,2,0,0,2,0,1,1
100,none,24,current loans paid,car (new),1469,100 - 500 DM,>= 7 years,4,male-married/widowed,none,4,real estate,41,none,rent,1,unskilled-resident,1,none,yes,0,1.0,3,2,1,0,3,2,2,2,1,2,3,0,1
101,0 - 200 DM,36,current loans paid,radio/television,2323,< 100 DM,4 - 7 years,4,male-single,none,4,car or other,24,none,rent,1,skilled,1,none,yes,0,1.0,0,2,7,2,1,3,2,1,1,2,1,0,1
102,none,6,past payment delays,radio/television,932,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,real estate,24,none,own,1,skilled,1,none,yes,0,1.0,3,4,7,2,0,0,2,2,1,1,1,0,1
103,0 - 200 DM,9,critical account - other non-bank loans,furniture/equipment,1919,< 100 DM,4 - 7 years,4,male-single,none,3,car or other,35,none,rent,1,skilled,1,yes,yes,0,1.0,0,1,5,2,1,3,2,1,1,2,1,1,1
104,none,12,current loans paid,car (used),2445,unknown/none,< 1 year,2,male-married/widowed,none,4,car or other,26,none,rent,1,skilled,1,yes,yes,0,1.0,3,2,2,4,2,2,2,1,1,2,1,1,1
105,0 - 200 DM,24,critical account - other non-bank loans,other,11938,< 100 DM,1 - 4 years,2,male-single,co-applicant,3,car or other,39,none,own,2,highly skilled,2,yes,yes,1,1.0,0,1,6,2,0,3,0,1,1,1,0,1,1
106,none,18,all loans at bank paid,car (new),6458,< 100 DM,>= 7 years,2,male-single,none,4,unknown-none,39,bank,own,2,highly skilled,2,yes,yes,1,1.0,3,0,1,2,3,3,2,3,0,1,0,1,1
107,0 - 200 DM,12,current loans paid,car (new),6078,< 100 DM,4 - 7 years,2,male-single,none,2,car or other,32,none,own,1,skilled,1,none,yes,0,1.0,0,2,1,2,1,3,2,1,1,1,1,0,1
108,< 0 DM,24,current loans paid,furniture/equipment,7721,unknown/none,< 1 year,1,female-divorced/separated/married,none,2,building society savings/life insurance,30,none,own,1,skilled,1,yes,no,0,1.0,1,2,5,4,2,0,2,0,1,1,1,1,0
109,0 - 200 DM,14,current loans paid,business,1410,500 - 1000 DM,>= 7 years,1,male-married/widowed,none,2,real estate,35,none,own,1,skilled,1,yes,yes,0,1.0,0,2,0,1,3,2,2,2,1,1,1,1,1
110,> 200 DM or salary assignment,6,critical account - other non-bank loans,car (new),1299,< 100 DM,1 - 4 years,1,male-single,none,1,real estate,74,none,own,3,unemployed-unskilled-non-resident,2,none,no,0,1.0,2,1,1,2,0,3,2,2,1,1,2,0,0
111,0 - 200 DM,9,current loans paid,furniture/equipment,918,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,1,building society savings/life insurance,30,none,own,1,skilled,1,none,yes,1,1.0,0,2,5,2,0,0,2,0,1,1,1,0,1
112,0 - 200 DM,6,past payment delays,business,1449,100 - 500 DM,>= 7 years,1,male-divorced/separated,none,2,car or other,31,bank,own,2,skilled,2,none,yes,0,1.0,0,4,0,0,3,1,2,1,0,1,1,0,1
113,> 200 DM or salary assignment,15,current loans paid,education,392,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,23,none,rent,1,skilled,1,yes,yes,0,1.0,2,2,4,2,2,0,2,0,1,2,1,1,1
114,0 - 200 DM,18,current loans paid,car (new),6260,< 100 DM,4 - 7 years,3,male-single,none,3,real estate,28,none,rent,1,unskilled-resident,1,none,yes,0,1.0,0,2,1,2,1,3,2,2,1,2,3,0,1
115,none,36,critical account - other non-bank loans,car (new),7855,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,1,1.0,3,1,1,2,0,0,2,2,2,1,1,1,1
116,< 0 DM,12,current loans paid,radio/television,1680,500 - 1000 DM,>= 7 years,3,male-married/widowed,none,1,real estate,35,none,own,1,skilled,1,none,yes,0,1.0,1,2,7,1,3,2,2,2,1,1,1,0,1
117,none,48,critical account - other non-bank loans,radio/television,3578,unknown/none,>= 7 years,4,male-single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,0,1.0,3,1,7,4,3,3,2,2,1,1,1,1,1
118,< 0 DM,42,current loans paid,radio/television,7174,unknown/none,4 - 7 years,4,female-divorced/separated/married,none,3,car or other,30,none,own,1,highly skilled,1,yes,yes,1,1.0,1,2,7,4,1,0,2,1,1,1,0,1,1
119,< 0 DM,10,critical account - other non-bank loans,furniture/equipment,2132,unknown/none,< 1 year,2,female-divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled,1,none,no,0,1.0,1,1,5,4,2,0,0,2,1,2,1,0,0
